קוד חשבון,שם,עיר או שכונה,רחוב,טלפון בעבודה,סיווג לקוח,תאריך יצירה
3513325,מוסך לביא,נתניה,המסגר 5,09-625551,,29/11/2018
3513326,מוסך עופרים נתניה בעמ,נתניה,"א""ת ישן",053-,,29/11/2018
3513327,"פלקסטרוניקס בע""מ",מגדל העמק,המתכת 2 תד 867,04-6448200,"יצרן ציוד מדויק,אלקטרוניקה,רפואי",29/11/2018
3513328,מוסך דניגלאס,טבריה,ת.ד. 832,6700092798,,29/11/2018
3513329,"מוסך סהר((1983 בע""מ",אשדוד,א.ת.,08-8535677,,29/11/2018
3513901,קידמה ציוד -לא פעיל,ראשון לציון,אליהו איתן 7,03-9614111,,29/11/2018
3514101,"רב קאר בע""מ",פתח תקוה,עמל 50,03-9221810,,29/11/2018
3514201,"שלב בע""מ",,"שפירא 6 א""ת ראשל""צ",03-9610886,,29/11/2018
3514202,"אח""מ",פתח תקוה,אבשלום גיסין 61,03-9242155,,29/11/2018
3514203,שרותי רכב,,בן צבי 30 ראשון לציון,03-9519998,,29/11/2018
3514301,תעשיות רכב ת.ר.2013,נצרת עילית,דרך העמק 41,04-6558111,,29/11/2018
3520031,ג'וליבר,נתניה,רח' חרוצים א.ת.ח,09-8850848,,29/11/2018
3520842,"טרמוקון בע""מ",,דוד בן גוריון 17 בניברק,03-5790122,,29/11/2018
3542101,"סקיו סיסטמס בע""מ",קיסריה,האשל 6 קיסריה,04-6176681,,29/11/2018
3542210,מחצבות כפר גלעדי,כפר גלעדי,דואר כפר גלעדיק. גלעדי,04-6946261,כרייה וחציבה,29/11/2018
3542260,"אפקון בקרה ואוטומציה בע""מ",פתח תקוה,סמטת התבור 4,073-2001333,שירותים,29/11/2018
3546020,הסדנה לעיצוב בזכוכית,תל אביב יפו,פראנצויז 8,03-6831659,,29/11/2018
3556200,יו.די.אס.אינטרנשיונל,,המרכבה 73א.ת חולון,03-5599811,,29/11/2018
3562101,גומרון-מוצרי גומי,תל אביב יפו,רח' השפלה 3,03-6879693,,29/11/2018
3562201,"דגש פ.ק. בע""מ",יד בנימין ,רחוב עובדיה 6,08-9422294,יצרן ציוד ומיכון,29/11/2018
3602101,"מתן חיווט אלקטרוניקה בע""מ",אשדוד,"הבנאים 10/26 א""תאשדוד",08-8564874,,29/11/2018
3611020,ממב מכשירי מדידה ובקה,,המזמרה 17 א.ת. נס ציונה,08-9400133,,29/11/2018
3613008,"כרסום עיבוד שבבי בע""מ",תל אביב יפו,"קהילת ניו-יורק 36 ת""א",03-6390670,,29/11/2018
3613402,נעלי עינת,,דאר עינת,03-960381,,29/11/2018
3613501,קינג  פוסידון,,"ת""ד 228 א""ת חצור הגלילי",600931423,,29/11/2018
3620025,"רד סי פיש פארם בע""מ",אילת,ת.ד. 4045 אילת תד 4045,08-6304000,תעשיה ימית,29/11/2018
3622010,לידקום אינטגרייטד סול,,המצודה 29 אזור,03-5576888,,29/11/2018
3622150,"שפיר מערכות ייצור בע""מ",צור יגאל,תד 12399,09-7630500,יצרן ציוד ומיכון,29/11/2018
3652122,"דעה מחקר ופיתוח בע""מ",ירושלים,מרכז ספיר גבעת שאול,02-6540879,,29/11/2018
3654101,משאבים פרמצבטיים,,ת.ד. 2915 אבן-יהודה,09-8998098,,29/11/2018
3662541,"ויטל מדיקל בע""מ",,"גונן 11 פ""ת ת""ד7292",03-9213845,,29/11/2018
3665241,קל בם,חיפה,שד' ההסתדרות 178,04-8727771,,29/11/2018
3665823,"ארדע פלסט בע""מ",אבן יהודה,רח' העצמאות 4,09-8929900,תעשיה כימית,29/11/2018
3704510,טי.אפ. סיסטמס,,"אלטלף 13 א""ת יהוד",03-5360202,,29/11/2018
3704551,טי.אס.קיי,הרצליה,רח' הסדנאות 8 הרצליה,09-9574264,,29/11/2018
3712102,"בראון נ.ש בע""מ",תל אביב יפו,איינשטיין 75 תל-אביב,03-6413910,,29/11/2018
3712110,"גולד פיין בע""מ",חולון,הלהב 5,03-6837567,,29/11/2018
3712111,"ג'ותאלי בע""מ",תל חנן,דרך בר יהודה תל-חנן,04-8215344,,29/11/2018
3712301,דיאור,תל אביב יפו,"דרך פ""ת 1 תל-אביב",03-5606019,,29/11/2018
3713301,"מכסף אגודה שיתופית חקלאית בע""מ",אשקלון,"ד""נ חוף אשקלון",051-98121,,29/11/2018
3713302,מולי,רמת גן,"רח' תובל 28 ק""ג רמת-גן",03-6132381,,29/11/2018
3713901,שפי תכשיטים,סגולה,א.ת. סגולה דוד מרכוס 27,03-9341604,,29/11/2018
3764001,קיבוץ עברון - מטבח,עברון,ד.נ. אשרת קיבוץ,052-855857,,29/11/2018
3804512,לה פבוריטה-מ. שור,בני ברק,דרך ששת הימים 6 בני ברק,03-6182398,,29/11/2018
3812108,בית חולים הדסה עין כרם,ירושלים,עין כרם קרית הדסה,02-6778154,שירותים,29/11/2018
3850200,"ציוני ממן בית וגן בע""",צפת,ירושלים 79 צפת,06-6925477,,29/11/2018
3872010,מרכז גריאטרי נתניה,נתניה,שכון דורה,09-8630104,,29/11/2018
3881201,ש. קליימן--מבוטל--,רמת גן,ארלוזורוב 49,03-6734764,,29/11/2018
3910001,שטיחי מוריה,בני ברק,ברוך הירש 7,03-5796404,,29/11/2018
3990120,אורעד מערכות הייטק,כפר סבא,"התע""ש 41",09-7676862,,29/11/2018
4002135,"סאיטקס ויז'ן בע""מ",נתניה,הצורן 8B א.ת חדש,09-8924700,,29/11/2018
4014667,ניצה טכנולוגיות,,מושב בית נחמיה 71,03-9732050,,29/11/2018
4022876,טכנוכל יהושע חס,,ת.ד. 8021 חיפה,04-8379680,,29/11/2018
4051132,"קפה לואיז נווה אביבים בע""",תל אביב יפו,אופנהיימר 11,054-7444190,,29/11/2018
4051896,"שמשון מכניקה עדינה בע""מ",קרית ביאליק,החרושת 74 תד 9119,04-8777013,,29/11/2018
4100235,"שמש משאבות בע""מ",בני ברק,הקישון 17 בני ברק,03-5705602,,29/11/2018
4156320,וויזבנד,הרצליה,מדינת היהודים הרצליה,09-9515527,,29/11/2018
4159357,פון אור,,התעשיה  17 אור  יהודה,03-6344488,,29/11/2018
4200310,פקר פלדות ומתכות,כפר סבא,ת.ד. 720,09-7647777,,29/11/2018
4200312,"פלס אינטקו בע""מ (לא לשימו",נתניה,הצורן 1ב' א.ת.דרומי,09-8656747,,29/11/2018
4200320,שילוב-הנדסת מכונות בע,,המרכבה 17 א.ת. חולון,03-5507006,,29/11/2018
4201135,"תעבורה אחזקות בע""מ",רמלה,החזון 6 תד 320,08-9270452,,29/11/2018
4201201,"ווסטרן דיגיטל ישראל בע""מ",כפר סבא,עתיר ידע 8,09-7645000,,29/11/2018
4201330,רוזנברג מזכרות טי.אס,,גילעד 17 ראש העין,03-9013328,,29/11/2018
4203361,צלע-ציוד לעבודות עפר,עמק חפר,תד 12097,06-6225591,,29/11/2018
4206887,"תל-עד אלקטרוניקה בע""מ",כפר סבא,עתיר ידע 13,09-7634111,,29/11/2018
4211320,"מאפית ודש 1975)) בע""מ",רמת השרון,החרושת 19 א.ת.חדש,03-5491717,,29/11/2018
4213325,ד.ס.ר דלק סוכנויות רכ,,"הירקון א""ת נ.נאמן הוד ה",09-7402888,,29/11/2018
4215532,כימדע - ק. ניר יצחק,,ד.נ. הנגב,08-9983366,,29/11/2018
4218764,"אורועקרד בע""מ",קיסריה,אלון התבור 2 קיסריה,04-6272424,,29/11/2018
4220140,לא פעיל,,"המלאכה 13 פרק אפק ר""ה",03-9004111,,29/11/2018
4221001,דן-פל,,קבוץ דן,06-6953811,,29/11/2018
4223010,תדר הנדסה אלקטרומכנית,פתח תקוה,בן ציון גליס 9,03-9307779,,29/11/2018
4223100,"רביב אגש""ח בע""מ - לא לשימ",רביבים,קיבוץ רביבים ד.נ. חלוצה,08-6562555,,29/11/2018
4223101,"דל-פק סיסטמס בע""מ",בני ברק,"לח""י 31 תד 1461",03-5776868,,29/11/2018
4223150,רדלן תקשורת מחשבים,תל אביב יפו,"פארק עתידים בנין 4 ת""א",03-6458555,,29/11/2018
4223155,"ריבוע הזמן בע""מ",אור עקיבא,א.ת. צפוני אור עקיבא,06-6263891,,29/11/2018
4230012,"ג'י. טק ישראל בע""מ",תל אביב יפו,שאול המלך 8 תל-אביב,03-6938600,,29/11/2018
4231203,"מטרולייט בע""מ",נתניה,האומנות 1א.ת.חדש נתניה,,,29/11/2018
4251365,טריין ישראל,,"פלטין 1-3 א""ת חדש ראשל""",03-9510108,,29/11/2018
4255789,צוק מערכות ורכיבי הנעה בע,קדימה,"המעלית 5 א""ת  תד 5021",09-8899500,יצרן ציוד ומיכון,29/11/2018
4300210,כ.פ.י-כנרות פיתוח ויז,עמק הירדן,צמח:מפעלים אזוריםעמקירד,06-6709018,,29/11/2018
4300212,"טי.די.קיי- למבדא בע""מ",כרמיאל,החרושת 56  תד 500,04-9887491,"יצרן ציוד מדויק,אלקטרוניקה,רפואי",29/11/2018
4300214,מדיד מכשירי בקרה תעשיתיים,חיפה,תד 10692,04-8413552,סוחר,29/11/2018
4302101,"איזידנט תעשיות בע""מ",תל אביב יפו,ויתקין 24,03-5189237,,29/11/2018
4302102,מתכת מעברות,,צור יגאל,,,29/11/2018
4320110,"סוליד אפלייד טכנולוגי בע""",אשקלון,תד 7176,08-6744051,,29/11/2018
4320120,"גיוון אימג'ינג בע""מ",יקנעם מושבה,הכרמל 2 תד 258,04-9097846,"יצרן ציוד מדויק,אלקטרוניקה,רפואי",29/11/2018
4320200,"אורצ'רד פורמית בע""מ",כרמיאל,ת.ד. 287 כרמיאל תד 287,04-9989991,,29/11/2018
4321001,"כספות ענבל בע""מ",קרית מלאכי,תד 1041,08-8503634,,29/11/2018
4321250,"מטלוק ישראל בע""מ",תל חנן,תד 300,04-8211183,,29/11/2018
4321897,"וו.פ.וו.הנדסה בע""מ",כרמיאל,"המגל  50 א""ת כרמיאל",04-9887250,,29/11/2018
4322010,"איי.טי.אס בע""מ",כפר סבא,עתיר ידע 5 ג',09-7903000,יצרן ציוד ומיכון,29/11/2018
4322101,הכוכב-חברה לתעשיות מגופים,קרית גת,האשלגן 8 א.ת תד 8628,08-6818899,"יצרן מע' הידראוליות ופניאומטיות, שסתומים ואטמים",29/11/2018
4330120,"מרסקו טכנולוגיות בע""מ",יבנה,תד 159,08-9438408,,29/11/2018
4330210,סטודיו שחם,שדה ורבורג,שדה ורבורג,09-7601537,,29/11/2018
4330211,"הידרו-לוק בע""מ",,המלאכה 31 א.ת. חולון,03-808051,,29/11/2018
4332101,אר.טי.סי,,ת.ד. 379 רחובות,08-9458055,,29/11/2018
4332156,"ה.די.אס. מערכות בע""מ",יקנעם עילית,"א""ת החדש בנין 7 יקנעם ע",04-9599611,,29/11/2018
4336215,"תלוי בע""מ",תל אביב יפו,"הירקון 165 חדר 416 ת""א",03-5271026,,29/11/2018
4362011,נפקון טכנולוגיות ייצור בע,יבנה,נחל שניר 9 תד 126,08-9431997,,29/11/2018
4366210,"אלקטרומכניק מ.ש בע""מ",חיפה,חלץ 10 (גשר פז) חיפה,04-8644238,,29/11/2018
4421301,מילס תעשיות תאורה בעמ,תל אביב יפו,"היסוד 3 ת""א בנין מרכזים",03-6810979,,29/11/2018
4487501,קבוץ גלעד - מוסך,,ד.נ. חבל מגידו ק.גלעד,04-9898611,,29/11/2018
4512,לקוח ניסיון,קדימה,מעלה שלמה,,,29/11/2018
4513006,אקורד,פתח תקוה,פתח תקוה,03-9257482,,29/11/2018
4520032,"זירון טכנולוגיות בע""מ",חיפה,יגיע הכפיים 13 חיפה,04-8410522,,29/11/2018
4523010,הרשקו אריה ע. ריהוט- לא פ,נתניה,שכטרמן 26 א.ת. נתניה,09-8846029,,29/11/2018
4523100,"חוות ירדנאי בע""מ",נהלל,תד 153,04-6515124,,29/11/2018
4523101,"גלדור מערכות בע""מ",יבנה,תד 13354,08-9322950,,29/11/2018
4523301,בן ישי שיווק והפצה,קרית מלאכי,כז מסחרי ק,08-8580443,,29/11/2018
4530078,השחר,בת חפר,,03-9817161,,29/11/2018
4530082,בראון אנד שרפ,,"סנטרל פארק 2000 א""ת כ""ס",09-7669660,,29/11/2018
4530087,רהיטי אחים כהן,חצור הגלילית,"א""ת חצור הגלילית",06-6936646,,29/11/2018
4530210,וידאו דומיין טכנ' בעמ,,המלאכה 57 א.ת. חולון,03-5595919,,29/11/2018
4531200,"מיגוון-מע' מיגון בע""מ",יהוד,אלטלף 9ת.ד31.א.ת.יהוד,03-6320470,,29/11/2018
4532100,"זנלכל בע""מ",עפולה,תד 2445,04-6595555,"תעשית המזון, הפארמה והקוסמטיקה",29/11/2018
4545,לקוח ניסיון,קדימה,מעלה שלמה,,,29/11/2018
4550021,"תרופאטק אינטרנשיונל בע""מ",נתניה,תד 80511,09-8851155,,29/11/2018
4552130,יזרעאל תמוז לא לשימוש,יזרעאל,,04-6096000,,29/11/2018
4552301,רב-טק מוצרים פלסטיים,עומר,תד 3004,07-6494953,,29/11/2018
4552871,"דין דיאגנוסטיקה בע""מ",קיסריה,האשל 7 פארק קסריה,06-6277050,,29/11/2018
4553020,"שקילה ייצור בע""מ",קיסריה,אלון התבור17 פ.ת.קסריה,,,29/11/2018
4553621,ת.א.ג.מכשירים רפואיים-אגש,געתון,קיבוץ געתון ד.נ. אשרת,04-9858400,"יצרן ציוד מדויק,אלקטרוניקה,רפואי",29/11/2018
4556001,"תפרון בע""מ",משגב,א.ת. תרדיון משגב,04-9900000,,29/11/2018
4556021,"אם.סי.אס בע""מ",אור עקיבא,האילן 12 תד 75,04-6266630,,29/11/2018
4556201,נ.ס.ב. תקשורת מתקדמת,קרית מוצקין,דרך עכו 235 ק. מוצקין,052-268079,,29/11/2018
4556300,"מור אנרגיה בע""מ",לוד,תד 1112,08-9188666,,29/11/2018
4556310,מעבדות גלקסי אלקטרוני,תל אביב יפו,הרכבת 72,03-8392020,,29/11/2018
4556320,"עבודות זגגות בע""מ",רעננה,א.ת. רעננה,09-7448735,,29/11/2018
4556321,"אטיס אלקטרוניקה בע""מ",כרמיאל,"בנין אגםת""ד41תפןא6",04-9873940,,29/11/2018
4557223,ויסמן פרידמן פיתוח,חיפה,תד 10028,04-8411212,,29/11/2018
4557891,"רוני גרנות דגמים בע""מ",תל אביב יפו,"היסוד 4 ת""א",03-5184007,,29/11/2018
4557987,חפרפר,אזור,סוקולוב 13 אזור,03-6500115,,29/11/2018
4558720,עוזי רדיאטורים 1993,נתניה,המסגר 19,09-8821414,,29/11/2018
4558976,ד.אם.פי הנדסה,רעננה,"המסגר 1 א""ת רעננה",09-7440516,,29/11/2018
4559872,"לוג הנדסה וניהול בע""מ",כפר סבא,תד 2331,09-7667622,,29/11/2018
4562030,"רום-פון 1993)) בע""מ",פתח תקוה,"שחם 10 קרית מטלון פ""ת",03-9115102,,29/11/2018
4562201,"מדסון בע""מ",,פקריס 4 רחובות,08-9487720,,29/11/2018
4563200,מפעל מתכת חניתה-לא לשמוש,שלומי,ת.ד.1121,04-9850040,,29/11/2018
4563210,"אלביט מערכות בע""מ",אשדוד,הבושם 3 קרית המדע אשדוד,08-8528128,"יצרן ציוד מדויק,אלקטרוניקה,רפואי",29/11/2018
4566320,הספקה טכנית ק. שמונה,קרית שמונה,א.ת. דרומי קרית שמונה,06-6949049,,29/11/2018
4568296,הליוס תקשורת ישראל בע,יקנעם עילית,בנין תבור יוקנעם עלית,04-9590707,,29/11/2018
4574596,"קנולטק בע""מ",,העפרוני 5 חולון,03-5585568,,29/11/2018
4586295,"ערדום-גד""ש",יהל,ד.נ. אילות ק.יהל,07-6357911,,29/11/2018
4589763,טווס,ירושלים,יפו 216 ירושלים,02-5372010,,29/11/2018
4600210,אידיאה פיתוח תיכנון וייצו,גן שלמה,דוד נוטמן 1 קבוצת שילר,08-9469482,"יצרן ציוד מדויק,אלקטרוניקה,רפואי",29/11/2018
4600231,"איי.וי.טי בע""מ",הוד השרון,תד 7295,09-7614444,"יצרן ציוד מדויק,אלקטרוניקה,רפואי",29/11/2018
4603200,סייאופטיקס (ישראל) בע,יקנעם עילית,יוקנעם עילית,04-9096218,,29/11/2018
4620101,חוג'סטה עיצוב תעשיתי,,ת.ד. 92 מושב בורגתא,09-8940993,,29/11/2018
4622301,"פגסוס טכנולוגיות בע""מ",אזור,המצודה 27 אזור,03-5500633,,29/11/2018
4623001,"אודיו קודס בע""מ",לוד,הירדן 1 ש. ת בן גוריון,03-9764000,,29/11/2018
4623002,"מובייל קום תקש' בע""מ",,פ.ת.ארגמן ת.ד. 16 יבנה,08-9420976,,29/11/2018
4623010,"תויות איכות בע""מ",חיפה,בר יהודה 40,04-8660866,,29/11/2018
4623110,לוסנט טכנולוגיות אופ',פתח תקוה,"יגע כפיים 21 פ""ת",,,29/11/2018
4623301,טלגיל מיחשוב ובקרה בע,קרית מוצקין,תד 775,04-8775947,,29/11/2018
4623321,"סאמוט הנדסה בע""מ",חיפה,"ת.ד. 242 מת""מ חיפה תד 242",04-8316934,,29/11/2018
4630020,"כרמל מדיקל ט.א. בע""מ",יקנעם עילית,כוכב יוקנעםיוקנעם עילי,04-9597111,,29/11/2018
4630021,"גולדפק בע""מ",נתניה,ת.ד. 7025 נתניה,09-8656346,,29/11/2018
4630210,"תרדיון בע""מ-ראה 5701",משגב,תד 1333,04-9990866,,29/11/2018
4632001,"צנרת הצפון בע""מ",חיפה,אלנבי 3 תד 33084,04-8672276,סוחר,29/11/2018
4632010,א.ת. קרטונג' 1997 בעמ,,הבנאי 29 א.ת. חולון,03-5590830,,29/11/2018
4632100,"לייף ווטש טכנולוגיות בע""מ",רחובות,פקריס 2 תד 527,08-9484000,,29/11/2018
4632210,תדיראן טלמטיקס,,השופטים 26 חולון,03-5575784,,29/11/2018
4633210,"מדינול בע""מ",ירושלים,בנין בק-טק למדע תד 45026,02-5417777,"יצרן ציוד מדויק,אלקטרוניקה,רפואי",29/11/2018
4653004,דלת פלוס-שיווק,,מושב מצליח  משק 59 ראשל,08-9236013,,29/11/2018
4653005,"בע""מ I.T.T ש.א",ערוגות,מושב ערוגות 48,08-8503289,,29/11/2018
4653008,"פי.סי.בי טכנו' בע""מ",מגדל העמק,האומן 10 תד 631,04-6544300,"יצרן ציוד מדויק,אלקטרוניקה,רפואי",29/11/2018
4653321,"עיבוד שבבי דימונה בע""",דימונה,ת.ד. 76 דימונה תד 76,07-6559049,,29/11/2018
4655230,ספיצ' דיזיין (ישראל(,כפר סבא,תד 6006,09-7672031,,29/11/2018
4659800,"אמרד רדיאטורים בע""מ",תל אביב יפו,רח' השלושה 1,03-5371656,,29/11/2018
4662030,"ד.ש. בע""מ",פתח תקוה,השפלה 4 תד 3607,03-9230773,,29/11/2018
4662031,"איתמר מדיקל בע""מ",קיסריה,תד 3579,04-6177000,"יצרן ציוד מדויק,אלקטרוניקה,רפואי",29/11/2018
4662300,רפאלי חומרי בנין,רמת השרון,"שבטי ישראל 106 רמה""ש",03-5496865,,29/11/2018
4662301,"מיקרו טולס בע""מ",תפן,א.ת.מגדל תפן ת.ד .8 תד 8,04-9077111,,29/11/2018
4662302,"מוצרי הוד לבן בע""מ",כפר ויתקין,ת.ד 581 כפר-ויתקין תד 581,06-6335474,,29/11/2018
4662310,"גלית פרופילים בע""מ",קרית גת,האשלגן 16,07-6811562,,29/11/2018
4663021,צרעה מערכות אקטיביות,צרעה,ד.נ שמשון,02-9908207,,29/11/2018
4663201,רמון טכנ' רפואיות בעמ,קיסריה,תד 3533,04-6230001,,29/11/2018
4663210,"מעיני הצליל בע""מ",נתניה,סמילנסקי 4 נתניה,09-8336541,,29/11/2018
4665230,"פרץ מנצור תעשיות בע""מ",נס ציונה,החרש 11 נס ציונה קומה 2,08-9405199,,29/11/2018
4665587,"טכנופח בע""מ",,לא לשימוש,03-9364052,,29/11/2018
4667928,"אלכים בע""מ",תל אביב יפו,סבא משפולה 7 יפו,03-6581184,,29/11/2018
4689201,אנורד -לא לשימוש,יקנעם עילית,בנין תבור 2 תד 299,04-9095222,,29/11/2018
4690032,גותית-לא פעיל,רחובות,טשרנכובסקי 90,08-9455171,,29/11/2018
4711032,"פלכר בע""מ",כפר רופין,כפר רופין,04-6068121,,29/11/2018
4713301,משרד הבטחון תעשיות),תל אביב יפו,תד 21232,03-7122753,,29/11/2018
4713302,"משרד הבטחון-מנה""ר",תל אביב יפו,הקריה תל אביב,,שירותים,29/11/2018
4713303,"משהב""ט מערכות ומחקר",תל אביב יפו,תד 21232,03-7122715,שירותים,29/11/2018
4713304,ד.צ .02406 - חיל הים,חיפה,משרד הבטחון,04-8143339,תעשיה ימית,29/11/2018
4713305,"ד.צ. 02354 - מש""א 7000",,משרד הבטחון,03-7376368,עיבוד מתכת ,29/11/2018
4713306,ד.צ .02626,צריפין,משרד הביטחון,03-9577737,שירותים,29/11/2018
4713307,ד.צ .02639,,משרד הביטחון,,שירותים,29/11/2018
4713308,ד.צ .02157,,משרד הביטחון,08-8590331,שירותים,29/11/2018
4713309,"משהב""ט כ""ד טכני",תל אביב יפו,הקריה תד 39054,03-6468007,שירותים,29/11/2018
4713310,ד.צ .02470,,משרד הביטחון,03-5720384,שירותים,29/11/2018
4713311,ד.צ .01735,,"משרד הבטחון בס""א 18",03-6062395,,29/11/2018
4713312,ד.צ .02776,צריפין,"צה""ל במצ""א 108 צריפין",03-9577875,שירותים,29/11/2018
4713313,"ד.צ .02345  - מצל""ח",,משרד הביטחון,,שירותים,29/11/2018
4713314,ד.צ .01321 - יפתח,צריפין,,03-9576427,שירותים,29/11/2018
4713315,ד.צ 02656,,משרד הביטחון,08-8576668,,29/11/2018
4713316,ד.צ .01154,,,03-5306459,,29/11/2018
4713317,ד.צ .01677,,משרד הביטחון,03-5482070,,29/11/2018
4713318,ד.צ 02572,,משרד הביטחון,03-9575150,שירותים,29/11/2018
4713319,ד.צ .02170,,,03-5482223,,29/11/2018
4713320,ד.צ 01188,,משרד הביטחון,03-5306939,,29/11/2018
4713321,ד.צ .01837,,משרד הביטחון,057-8155597,,29/11/2018
4713322,ד.צ 02229,,"משהב""ט",04-2637748,,29/11/2018
4713323,ד.צ 03690,,משרד הביטחון,03-5482568,,29/11/2018
4713324,ד.צ .01737,,משרד הביטחון,,,29/11/2018
4713325,ד.צ .2150,,,03-9684767,,29/11/2018
4713326,ד.צ .03505,,חיל האוירשדות האלה,02-9907543,,29/11/2018
4713327,ד.צ .02538,,,08-8684689,שירותים,29/11/2018
4713328,ד.צ .02102,,,08-8684806,,29/11/2018
4713329,ד.צ 02128,,משרד הבטחון,03-5306561,,29/11/2018
4713330,ד.צ 2434,,משרד הבטחון,03-5693229,,29/11/2018
4713331,ד.צ 6800,,"מצל""ח 6821",03-6976968,,29/11/2018
4713332,ד.צ .02655 - דלק,,מרכז דלק /בסיס דלק,,,29/11/2018
4713333,ד.צ .02523,,"צה""ל",03-9576093,שירותים,29/11/2018
4713334,"משרד הביטחון - משב""ח",תל אביב יפו,ת.ד7307. תל אביב תד 7307,04-6300614,שירותים,29/11/2018
4713335,"דאו  יועצים בע""מ",תל אביב,ברזיל 3,03-6437099,,29/11/2018
4713340,ד.צ.02777- פלמחים,,,,שירותים,29/11/2018
4713341,ד.צ. 03515,,,057-8110734,,29/11/2018
4713345,קרן סימן טוב,,,,,29/11/2018
4713355,ד.צ .01727,,"משהב""ט",03-9432189,,29/11/2018
4713380,ד.צ .02704,,משרד הבטחון,03-5692645,,29/11/2018
4716302,ד.צ .02400,,"משהב""ט",03-5306640,,29/11/2018
4716303,ד.צ .2688,,"משהב""ט",03-6907419,,29/11/2018
4716335,ד.צ. 02166,,"משהב""ט",050-7680293,,29/11/2018
4726947,איל-חברה להנדסה וחרוש,הרצליה,"החושלים 3 א""ת הרצליה",09-9541111,,29/11/2018
4766010,סקלה,תל אביב יפו,ת.ד. 13187 תל-אביב,03-6481344,,29/11/2018
4766301,אלקטרוניק סיסטמס,כרמיאל,תד 1012,04-9585850,,29/11/2018
4771201,ביו-בי-קבוץ שדה אליהו,שדה אליהו,עמק בית שאן,04-6096907,,29/11/2018
4775201,"שרש-ערכות נוודים בע""מ- לא",טירת כרמל,ת.ד32. טירת הכרמל תד 32,04-8574370,,29/11/2018
4776879,מיכה לוביש,ראש פינה,תד 125,04-6936220,,29/11/2018
4785221,יובל אחזקות,קרית טבעון,השקדים 20 טבעון,04-9832364,,29/11/2018
4785245,"מר ושו1982)') בע""מ",חולון,הצורף 5,03-5572529,,29/11/2018
4795684,כ.ח. הנדסה,מזכרת בתיה,גבעתי 23 תד 2360,050-3922281,,29/11/2018
4795685,לקוח להסכמי כמויות,,,,,29/11/2018
4832080,אמ.טי.אי.אר,יבנה,הירדן 4,08-9323312,,29/11/2018
4852147,"תומק בע""מ",רגבה,מושב רגבה תד 1037,04-9820895,יצרן מתכת,29/11/2018
4875962,איגור ברוך,,"חיש 28 ראשל""צ",,,29/11/2018
4885210,אמ.טי.אמ,,ת.ד45084. ירושלים,02-5328416,,29/11/2018
4889021,מ.א.ה מערכות בדיקה בעמ,נתניה,הגביש 4כניסה ג'פ.תעשיות,09-8858989,,29/11/2018
4889601,ל.ט.ש. חומרי בנין,נהריה,לוחמי הגטאות 31 נהריה,04-9924204,,29/11/2018
4900230,"אורנטפאור בע""מ",שער הנגב,"שקמה 15  א""ת פארק  ספירים",08-610754,,29/11/2018
4936982,ללא שם,,,,,29/11/2018
4936987,ללא שם,,,,,29/11/2018
4937018,ללא שם,,,,,29/11/2018
4937031,ללא שם,,,,,29/11/2018
4937036,ללא שם,,,,,29/11/2018
4937045,ללא שם,,,,,29/11/2018
4963301,"רדיאנסי ישראל בע""מ",הוד השרון,הנגר 5  נוה נאמן,09-7757552,,29/11/2018
4972583,"גלובאלופ בע""מ",הוד השרון,הנגר 1 הוד השרון,09-7414441,,29/11/2018
4990210,בורסוק מטאל טכנולוגיות בע,יבנה,נחל פולג 9 תד 117,08-9323696,,29/11/2018
4992130,"אינוביישן ישראל בע""מ",קיסריה,האשל 7 א.ת. קיסריה,04-6376380,,29/11/2018
4998021,"פיירסנס בע""מ",אשקלון,האופה 7 אשקלון,08-6716034,,29/11/2018
5002112,"אקיוביט בע""מ",ירושלים,תד 45102,02-5868330,,29/11/2018
5002301,"תעשיות לכיש בע""מ",שדרות,תד 105,08-6891121,,29/11/2018
5002310,"המ-לט בע""מ",נצרת עילית,"א""ת ציפורית תד 824",04-6414141,"יצרן מע' הידראוליות ופניאומטיות, שסתומים ואטמים",29/11/2018
5003210,הקסאגון מטרולוג'י (ישראל,רמת השרון,תד 1713,03-5488222,,29/11/2018
5003214,"יהודה ברק בע""מ",צורן,האלון 40,09-8940220,,29/11/2018
5003355,"גליל מדיקל בע""מ-Boston Scientific",יקנעם מושבה,תד 224,04-9591080,"יצרן ציוד מדויק,אלקטרוניקה,רפואי",29/11/2018
5011362,"זיוודרונן בע""מ",ראשון לציון,חיים שפירא 7 תד 5257,03-9539539,יצרן ציוד ומיכון,29/11/2018
5012003,אוני' בן גוריון-לא לשמוש,באר שבע,"ת""ד 653",700461818,,29/11/2018
5012004,אופק תוכנה ותקשורת,רמת גן,"רש""י 17",03-7510785,,29/11/2018
5012006,אורניט - אור הנר,,קיבוץ,08-6610222,עיבוד מתכת ,29/11/2018
5012007,"אל.בי. גז בע""מ",פתח תקוה,תד 3800,,,29/11/2018
5012010,"ארגמן תעשיות בע""מ",יבנה,ת.ד 172,08-9433257,,29/11/2018
5012012,אהוד ריקלין סוכנויות,חיפה,המגינים 54 חיפה,04-8516468,,29/11/2018
5012014,"ארן מחקר ופיתוח דגמים בע""",קיסריה,תד 3067,04-6239000,"יצרן ציוד מדויק,אלקטרוניקה,רפואי",29/11/2018
