קוד פריט,מספר מסמך,פרופיל,תאריך אסמכתא,קוד לקוח,שם לקוח,מיקוד,שם לקוח,סיווג לקוח,אסמכתא חיצונית,תאור פריט,מאפיין פריט,הפרדת מוצרים,מקט לקוח,כמות,מחיר נטו לשורה,קוד מטבע,מחיר מחירון שיקלי,%הנחה שורה,%הנחה כללי,הנחה בשורה,"סה""כ לשורה בש""ח",תאריך אספקה,שם חברה,סוכן,docStatus,קוד קבוצת פריט,תאור קבוצת פריט,מסד
GLG-6011-10000400-200L,FIN.11/018141,חשבונית מס כולל מלאי,29/08/2018,5025858,רשות שדות התעופה בישראל,,רשות שדות התעופה בישראל,תעשיית הרכבת והאוויר,2018/093/3396/00,ממיס ומנקה שומנים תעשייתיים,N,,23008087,2,1900,ILS,4080,0,0,0,3800,28/08/2018,"רוטל דבקים וכימיקלים בע""מ",ציון רון,0,,,246
GLG-6011-10000400-200L,FIN.11/020329,חשבונית מס כולל מלאי,14/11/2018,5025858,רשות שדות התעופה בישראל,,רשות שדות התעופה בישראל,תעשיית הרכבת והאוויר,2018/093/4101/00,ממיס ומנקה שומנים תעשייתיים,N,,23008087,2,1900,ILS,4080,0,0,0,3800,12/11/2018,"רוטל דבקים וכימיקלים בע""מ",ציון רון,0,,,249
GLG-6011-10000400-200L,FIN.11/020847,חשבונית מס כולל מלאי,02/12/2018,5025858,רשות שדות התעופה בישראל,,רשות שדות התעופה בישראל,תעשיית הרכבת והאוויר,2018/093/4249/00,ממיס ומנקה שומנים תעשייתיים,N,,23008087,2,1900,ILS,4080,0,0,0,3800,19/11/2018,"רוטל דבקים וכימיקלים בע""מ",ציון רון,0,,,250
GLG-6011-20100400-5L,10DVK52.1800276,חשבונית מס כולל מלאי,16/12/2018,5026125,"בלובירד אירו סיסטמס בע""מ",,"בלובירד אירו סיסטמס בע""מ",תעשיית הרכבת והאוויר,69134,ממיס ומנקה שומנים תעשייתיים,N,חומרי ניקוי ,,2,80,ILS,114,29.8246,0,68,160,16/12/2018,"רוטל דבקים וכימיקלים בע""מ",ניר שמחי,3,2042,חמרי ניקוי,325
GLG-6011-20100400-5L,FIN.11/012339,חשבונית מס כולל מלאי,27/02/2018,5023303,"דקסל פארמה טכנולוגיות בע""",,"דקסל פארמה טכנולוגיות בע""","תעשית המזון, הפארמה והקוסמטיקה",5008442,ממיס ומנקה שומנים תעשייתיים,N,,,4,114,ILS,114,0,0,0,456,29/11/2017,"רוטל דבקים וכימיקלים בע""מ",ציון רון,0,,,262
GLG-6011-23010400-25L,FIN.11/010521,חשבונית מס כולל מלאי,01/01/2018,5041815,מחלבת קיבוץ עין השופט קהי,1923700,מחלבת קיבוץ עין השופט קהי,"תעשית המזון, הפארמה והקוסמטיקה",07/12/2017,ממיס ומנקה שומנים תעשייתיים,N,,,1,360,ILS,540,0,0,0,360,07/12/2017,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,327
GLG-6011-42310400-750ML,FIN.11/010591,חשבונית מס כולל מלאי,02/01/2018,5041820,סול כנף הסוללים,,סול כנף הסוללים,"תעשית המזון, הפארמה והקוסמטיקה",28.12.17,ממיס ומנקה שומנים תעשייתיים,N,,,12,13.5,ILS,24,0,0,0,162,28/12/2017,"רוטל דבקים וכימיקלים בע""מ",,0,,,465
GLG-6011-23010400-25L,FIN.11/010624,חשבונית מס כולל מלאי,02/01/2018,5041829,חמוצי כרמל ובניו שרותי קט,,חמוצי כרמל ובניו שרותי קט,"תעשית המזון, הפארמה והקוסמטיקה",01/01/2018,ממיס ומנקה שומנים תעשייתיים,N,,,1,340,ILS,540,0,0,0,340,01/01/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,329
GLG-6011-20100400-5L,FIN.11/010705,חשבונית מס כולל מלאי,04/01/2018,5024369,"פישמן מפעלי קרור בע""מ",,"פישמן מפעלי קרור בע""מ","תעשית המזון, הפארמה והקוסמטיקה",02.01.18,ממיס ומנקה שומנים תעשייתיים,N,,,2,65,ILS,114,0,0,0,130,01/01/2018,"רוטל דבקים וכימיקלים בע""מ",,0,,,251
GLG-6011-42310400-750ML,FIN.11/010700,חשבונית מס כולל מלאי,04/01/2018,5041831,הום בוטיק,7871903,הום בוטיק,"תעשית המזון, הפארמה והקוסמטיקה",04/01/2018,ממיס ומנקה שומנים תעשייתיים,N,,,24,13,ILS,24,0,0,0,312,04/01/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,466
GLG-6011-23010400-25L,FIN.13/003352,חשבונית מס כולל מלאי,09/01/2018,5120402,החברה המרכזית להפצת משקאו,8258306,החברה המרכזית להפצת משקאו,"תעשית המזון, הפארמה והקוסמטיקה",3257339,ממיס ומנקה שומנים תעשייתיים,N,,3208303,8,405,ILS,540,0,0,0,3240,04/01/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,455
GLG-6011-23010400-25L,FIN.11/010836,חשבונית מס כולל מלאי,09/01/2018,5041832,קפה מהדרים דגן קרית אתא ב,,קפה מהדרים דגן קרית אתא ב,"תעשית המזון, הפארמה והקוסמטיקה",07/01/2018,ממיס ומנקה שומנים תעשייתיים,N,,,1,375,ILS,540,0,0,0,375,07/01/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,332
GLG-6011-42310400-750ML,FIN.11/010817,חשבונית מס כולל מלאי,09/01/2018,5041831,הום בוטיק,7871903,הום בוטיק,"תעשית המזון, הפארמה והקוסמטיקה",07/01/18.,ממיס ומנקה שומנים תעשייתיים,N,,,60,13,ILS,24,0,0,0,780,07/01/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,467
GLG-6011-23010400-25L,FIN.11/010818,חשבונית מס כולל מלאי,09/01/2018,5030218,"טמפו שיווק (1981)בע""מ",4250402,"טמפו שיווק (1981)בע""מ","תעשית המזון, הפארמה והקוסמטיקה",4000055916,ממיס ומנקה שומנים תעשייתיים,N,,,2,250,ILS,540,0,0,0,500,08/01/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,331
GLG-6011-10000400-200L,FIN.11/010879,חשבונית מס כולל מלאי,10/01/2018,5030344,"קניאל  תעשיות א.ט.ג בע""מ",,"קניאל  תעשיות א.ט.ג בע""מ","תעשית המזון, הפארמה והקוסמטיקה",9325983,ממיס ומנקה שומנים תעשייתיים,N,,,1,2190,ILS,4080,0,0,0,2190,08/01/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,236
GLG-6011-42310400-750ML,FIN.11/010828,חשבונית מס כולל מלאי,09/01/2018,5041831,הום בוטיק,7871903,הום בוטיק,"תעשית המזון, הפארמה והקוסמטיקה",09/01/2018,ממיס ומנקה שומנים תעשייתיים,N,,,60,13,ILS,24,0,0,0,780,09/01/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,468
GLG-6011-23010400-25L,FIN.11/010924,חשבונית מס כולל מלאי,14/01/2018,5041761,פלאפל ברזילי,,פלאפל ברזילי,"תעשית המזון, הפארמה והקוסמטיקה",11/01/2018,ממיס ומנקה שומנים תעשייתיים,N,,,2,375,ILS,540,0,0,0,750,11/01/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,333
GLG-6011-42310400-750ML,FIN.11/011001,חשבונית מס כולל מלאי,15/01/2018,5041831,הום בוטיק,7871903,הום בוטיק,"תעשית המזון, הפארמה והקוסמטיקה",14/01/2018,ממיס ומנקה שומנים תעשייתיים,N,,,120,13,ILS,24,0,0,0,1560,14/01/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,469
GLG-6011-10000400-200L,FIN.11/011228,חשבונית מס כולל מלאי,22/01/2018,5030344,"קניאל  תעשיות א.ט.ג בע""מ",,"קניאל  תעשיות א.ט.ג בע""מ","תעשית המזון, הפארמה והקוסמטיקה",9326016,ממיס ומנקה שומנים תעשייתיים,N,,,1,2190,ILS,4080,0,0,0,2190,18/01/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,238
GLG-6011-42310400-750ML,FIN.11/011279,חשבונית מס כולל מלאי,24/01/2018,5041831,הום בוטיק,7871903,הום בוטיק,"תעשית המזון, הפארמה והקוסמטיקה",21/01/2018,ממיס ומנקה שומנים תעשייתיים,N,,,72,13,ILS,24,0,0,0,936,21/01/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,473
GLG-6011-23010400-25L,FIN.11/011342,חשבונית מס כולל מלאי,28/01/2018,5041849,פרידמן- תעשיות חומץ ומזון,,פרידמן- תעשיות חומץ ומזון,"תעשית המזון, הפארמה והקוסמטיקה",25/01/2018,ממיס ומנקה שומנים תעשייתיים,N,,,1,340,ILS,540,0,0,0,340,25/01/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,337
GLG-6011-42310400-750ML,FIN.11/011603,חשבונית מס כולל מלאי,05/02/2018,5041831,הום בוטיק,7871903,הום בוטיק,"תעשית המזון, הפארמה והקוסמטיקה",04/02/2018,ממיס ומנקה שומנים תעשייתיים,N,,,120,13,ILS,24,0,0,0,1560,04/02/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,474
GLG-6011-20100400-5L,FIN.11/012123,חשבונית מס כולל מלאי,20/02/2018,5121806,"קמהדע בע""מ",,"קמהדע בע""מ","תעשית המזון, הפארמה והקוסמטיקה",2043858,ממיס ומנקה שומנים תעשייתיים,N,,909240045,5,95,ILS,114,0,0,0,475,07/02/2018,"רוטל דבקים וכימיקלים בע""מ",ציון רון,0,,,259
GLG-6011-42310400-750ML,FIN.11/012634,חשבונית מס כולל מלאי,07/03/2018,5041831,הום בוטיק,7871903,הום בוטיק,"תעשית המזון, הפארמה והקוסמטיקה",25/02/2018,ממיס ומנקה שומנים תעשייתיים,N,,,120,13,ILS,24,0,0,0,1560,25/02/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,478
GLG-6011-42310400-750ML,FIN.12/005390,חשבונית זיכוי,12/03/2018,5041831,הום בוטיק,7871903,הום בוטיק,"תעשית המזון, הפארמה והקוסמטיקה",25/02/2018,ממיס ומנקה שומנים תעשייתיים,N,,,120,13,ILS,24,0,0,0,-1560,25/02/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,498
GLG-6011-20100400-5L,FIN.11/012356,חשבונית מס כולל מלאי,27/02/2018,2413316,"מחלבות יוטבתה ע""ש אורי  ח",,"מחלבות יטבתה ע""ש אורי  חו","תעשית המזון, הפארמה והקוסמטיקה",1420-4500897532,ממיס ומנקה שומנים תעשייתיים,N,,,1,80,ILS,114,0,0,0,80,26/02/2018,"רוטל דבקים וכימיקלים בע""מ",,0,,,266
GLG-6011-23010400-25L,FIN.11/012349,חשבונית מס כולל מלאי,27/02/2018,5030218,"טמפו שיווק (1981)בע""מ",4250402,"טמפו שיווק (1981)בע""מ","תעשית המזון, הפארמה והקוסמטיקה",4000057185,ממיס ומנקה שומנים תעשייתיים,N,,,2,250,ILS,540,0,0,0,500,27/02/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,351
GLG-6011-23010400-25L,FIN.11/012913,חשבונית מס כולל מלאי,18/03/2018,1000000,גוהר מסעדה פרסית,,לקוחות שונים,"תעשית המזון, הפארמה והקוסמטיקה",18.03.18,ממיס ומנקה שומנים תעשייתיים,N,,,1,340,ILS,540,0,0,0,340,18/03/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,361
GLG-6011-23010400-25L,FIN.13/003386,חשבונית מס כולל מלאי,11/04/2018,5120402,החברה המרכזית להפצת משקאו,8258306,החברה המרכזית להפצת משקאו,"תעשית המזון, הפארמה והקוסמטיקה",3507429,ממיס ומנקה שומנים תעשייתיים,N,,3208303,10,405,ILS,540,0,0,0,4050,10/04/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,456
GLG-6011-10000400-200L,FIN.11/013952,חשבונית מס כולל מלאי,22/04/2018,5030344,"קניאל  תעשיות א.ט.ג בע""מ",,"קניאל  תעשיות א.ט.ג בע""מ","תעשית המזון, הפארמה והקוסמטיקה",9326167,ממיס ומנקה שומנים תעשייתיים,N,,,1,2190,ILS,4080,0,0,0,2190,16/04/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,242
GLG-6011-23010400-25L,FIN.11/014091,חשבונית מס כולל מלאי,26/04/2018,5041937,קריית שופר-סל,,קריית שופר-סל,"תעשית המזון, הפארמה והקוסמטיקה",4500957745,ממיס ומנקה שומנים תעשייתיים,N,,,2,250,ILS,540,0,0,0,500,26/04/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,373
GLG-6011-23010400-25L,FIN.11/014244,חשבונית מס כולל מלאי,01/05/2018,5041937,קריית שופר-סל,,קריית שופר-סל,"תעשית המזון, הפארמה והקוסמטיקה",4500961711,ממיס ומנקה שומנים תעשייתיים,N,,,2,250,ILS,540,0,0,0,500,29/04/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,376
GLG-6011-20100400-5L,FIN.11/014569,חשבונית מס כולל מלאי,14/05/2018,5041820,סול כנף הסוללים,,סול כנף הסוללים,"תעשית המזון, הפארמה והקוסמטיקה",4,ממיס ומנקה שומנים תעשייתיים,N,,,2,65,ILS,114,0,0,0,130,09/05/2018,"רוטל דבקים וכימיקלים בע""מ",,0,,,278
GLG-6011-23010400-25L,FIN.11/014673,חשבונית מס כולל מלאי,15/05/2018,5030218,"טמפו שיווק (1981)בע""מ",4250402,"טמפו שיווק (1981)בע""מ","תעשית המזון, הפארמה והקוסמטיקה",4000058898,ממיס ומנקה שומנים תעשייתיים,N,,,2,250,ILS,540,0,0,0,500,13/05/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,381
GLG-6011-23010400-25L,FIN.11/014783,חשבונית מס כולל מלאי,17/05/2018,5024369,"פישמן מפעלי קרור בע""מ",,"פישמן מפעלי קרור בע""מ","תעשית המזון, הפארמה והקוסמטיקה",16.05.18,ממיס ומנקה שומנים תעשייתיים,N,,,2,310,ILS,540,0,0,0,620,16/05/2018,"רוטל דבקים וכימיקלים בע""מ",,0,,,382
GLG-6011-23010400-25L,FIN.11/014911,חשבונית מס כולל מלאי,22/05/2018,5026175,"דובק בע""מ",,"דובק בע""מ","תעשית המזון, הפארמה והקוסמטיקה",75006504,ממיס ומנקה שומנים תעשייתיים,N,,,1,340,ILS,540,0,0,0,340,17/05/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,383
GLG-6011-23010400-25L,FIN.11/014960,חשבונית מס כולל מלאי,23/05/2018,5026175,"דובק בע""מ",,"דובק בע""מ","תעשית המזון, הפארמה והקוסמטיקה",75006504,ממיס ומנקה שומנים תעשייתיים,N,,,5,340,ILS,540,0,0,0,1700,17/05/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,384
GLG-6011-20100400-5L,FIN.11/015816,חשבונית מס כולל מלאי,17/06/2018,5121820,פיברו בריאות בעלי חיים בע,,פיברו בריאות בעלי חיים בע,"תעשית המזון, הפארמה והקוסמטיקה",137395/0,ממיס ומנקה שומנים תעשייתיים,N,,,1,114,ILS,114,0,0,0,114,06/06/2018,"רוטל דבקים וכימיקלים בע""מ",ציון רון,0,,,286
GLG-6011-23010400-25L,FIN.11/015817,חשבונית מס כולל מלאי,17/06/2018,5023533,"סיב שאן בע""מ",1173900 ,"קור שאן בע""מ","תעשית המזון, הפארמה והקוסמטיקה",170618,ממיס ומנקה שומנים תעשייתיים,N,,,1,285,ILS,540,0,0,0,285,17/06/2018,"רוטל דבקים וכימיקלים בע""מ",,0,,,394
GLG-6011-20100400-5L,FIN.11/016420,חשבונית מס כולל מלאי,05/07/2018,5121806,"קמהדע בע""מ",,"קמהדע בע""מ","תעשית המזון, הפארמה והקוסמטיקה",2045822,ממיס ומנקה שומנים תעשייתיים,N,,909240045,10,95,ILS,114,0,0,0,950,26/06/2018,"רוטל דבקים וכימיקלים בע""מ",ציון רון,0,,,289
GLG-6011-23010400-25L,FIN.13/003423,חשבונית מס כולל מלאי,25/07/2018,5120402,החברה המרכזית להפצת משקאו,8258306,החברה המרכזית להפצת משקאו,"תעשית המזון, הפארמה והקוסמטיקה",3518432,ממיס ומנקה שומנים תעשייתיים,N,,3208303,10,405,ILS,540,0,0,0,4050,18/07/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,457
GLG-6011-23010400-25L,FIN.11/016997,חשבונית מס כולל מלאי,24/07/2018,5041820,סול כנף הסוללים,,סול כנף הסוללים,"תעשית המזון, הפארמה והקוסמטיקה",24.07.18,ממיס ומנקה שומנים תעשייתיים,N,,.,2,300,ILS,540,0,0,0,600,24/07/2018,"רוטל דבקים וכימיקלים בע""מ",,0,,,409
GLG-6011-20100400-5L,FIN.11/017925,חשבונית מס כולל מלאי,22/08/2018,5041524,"אונו גרופ 1 בע""מ",,"אונו גרופ 1 בע""מ","תעשית המזון, הפארמה והקוסמטיקה",21/08/2018,ממיס ומנקה שומנים תעשייתיים,N,,,1,85,ILS,114,0,0,0,85,21/08/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,301
GLG-6011-23010400-25L,FIN.11/018825,חשבונית מס כולל מלאי,02/10/2018,5040866,"מי עדן בר ש.מ.ר בע""מ",4951787,"מי עדן בר ש.מ.ר בע""מ- לא לשימוש","תעשית המזון, הפארמה והקוסמטיקה",4500162883,ממיס ומנקה שומנים תעשייתיים,N,,900509,1,330,ILS,540,0,0,0,330,02/10/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,422
GLG-6011-23010400-25L,FIN.11/018959,חשבונית מס כולל מלאי,04/10/2018,5023533,"סיב שאן בע""מ",1173900 ,"קור שאן בע""מ","תעשית המזון, הפארמה והקוסמטיקה",04.10.18,ממיס ומנקה שומנים תעשייתיים,N,,,1,285,ILS,540,0,0,0,285,04/10/2018,"רוטל דבקים וכימיקלים בע""מ",,0,,,424
GLG-6011-20100400-5L,FIN.11/019255,חשבונית מס כולל מלאי,14/10/2018,5042066,שותפות פנטי,,שותפות פנטי,"תעשית המזון, הפארמה והקוסמטיקה",11/10/2018,ממיס ומנקה שומנים תעשייתיים,N,,,1,100,ILS,114,0,0,0,100,11/10/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,311
GLG-6011-23010400-25L,FIN.11/019768,חשבונית מס כולל מלאי,28/10/2018,5030218,"טמפו שיווק (1981)בע""מ",4250402,"טמפו שיווק (1981)בע""מ","תעשית המזון, הפארמה והקוסמטיקה",4000061712,ממיס ומנקה שומנים תעשייתיים,N,,,2,250,ILS,540,0,0,0,500,25/10/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,432
GLG-6011-23010400-25L,FIN.13/003445,חשבונית מס כולל מלאי,04/11/2018,5120402,החברה המרכזית להפצת משקאו,8258306,החברה המרכזית להפצת משקאו,"תעשית המזון, הפארמה והקוסמטיקה",3532282,ממיס ומנקה שומנים תעשייתיים,N,,3208303,10,405,ILS,540,0,0,0,4050,31/10/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,458
GLG-6011-20100400-5L,FIN.11/020200,חשבונית מס כולל מלאי,11/11/2018,5042058,"מיטשוס בע""מ",,"מיטשוס בע""מ","תעשית המזון, הפארמה והקוסמטיקה",11.11.18,ממיס ומנקה שומנים תעשייתיים,N,,,2,100,ILS,114,0,0,0,200,11/11/2018,"רוטל דבקים וכימיקלים בע""מ",,0,,,318
GLG-6011-23010400-25L,10DVK52.1800366,חשבונית מס כולל מלאי,19/12/2018,5042104,שף ברקו אבי סדנאות לימודי עישון  ,,שף ברקו אבי סדנאות לימודי עישון  ,"תעשית המזון, הפארמה והקוסמטיקה",19.12.18,ממיס ומנקה שומנים תעשייתיים,N,חומרי ניקוי ,,1,330,ILS,540,38.8889,0,210,330,19/12/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,3,2042,חמרי ניקוי,461
RGN-3312-750ML,FIN.11/015870,חשבונית מס כולל מלאי,18/06/2018,2413308,"מקורות חברת מים בע""מ - חב",6713402,"מקורות חברת מים בע""מ - חב",שירותים,4500357873,ממיס ומסיר אבנית,spray,,,12,16.8,ILS,21,0,0,0,201.6,11/06/2018,"רוטל דבקים וכימיקלים בע""מ",,0,,,646
RGN-3312-750ML,FIN.11/017102,חשבונית מס כולל מלאי,29/07/2018,2413308,"מקורות חברת מים בע""מ - חב",6713402,"מקורות חברת מים בע""מ - חב",שירותים,4500364566,ממיס ומסיר אבנית,spray,,2022681,6,16.8,ILS,21,0,0,0,100.8,23/07/2018,"רוטל דבקים וכימיקלים בע""מ",,0,,,647
RGN-3312-750ML,FIN.11/020910,חשבונית מס כולל מלאי,02/12/2018,5041429,ורידיס צ איכות הסביבה אר.,4672521 ,"ורידיס איכות הסביבה אר.די.אפ בע""מ",תעשיה כימית,14620,ממיס ומסיר אבנית,spray,,,12,15,ILS,21,0,0,0,180,19/11/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,649
RGN-3312-750ML,FIN.11/014569,חשבונית מס כולל מלאי,14/05/2018,5041820,סול כנף הסוללים,,סול כנף הסוללים,"תעשית המזון, הפארמה והקוסמטיקה",4,ממיס ומסיר אבנית,spray,,,12,14.5,ILS,21,0,0,0,174,09/05/2018,"רוטל דבקים וכימיקלים בע""מ",,0,,,645
RGN-3312-750ML,FIN.11/018825,חשבונית מס כולל מלאי,02/10/2018,5040866,"מי עדן בר ש.מ.ר בע""מ",4951787,"מי עדן בר ש.מ.ר בע""מ- לא לשימוש","תעשית המזון, הפארמה והקוסמטיקה",4500162883,ממיס ומסיר אבנית,spray,,,12,15,ILS,21,0,0,0,180,02/10/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,648
RGN-3312CG-5L,FIN.11/015208,חשבונית מס כולל מלאי,30/05/2018,5041890,"זהר צח 2009 אילת בע""מ",88000 ,"זהר צח 2009 אילת בע""מ",סוחר,5780,ממיס ומסיר אבנית,Delicate scent,,ZZ116,10,32.51,ILS,67,0,0,0,325.1,17/04/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,654
RGN-3312CG-750ML,FIN.11/015208,חשבונית מס כולל מלאי,30/05/2018,5041890,"זהר צח 2009 אילת בע""מ",88000 ,"זהר צח 2009 אילת בע""מ",סוחר,5780,ממיס ומסיר אבנית,Delicate scent,,ZZ101,96,8.2,ILS,14,0,0,0,787.2,17/04/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,655
RGN-3312CG-750ML,FIN.11/016196,חשבונית מס כולל מלאי,28/06/2018,5041890,"זהר צח 2009 אילת בע""מ",88000 ,"זהר צח 2009 אילת בע""מ",סוחר,5877,ממיס ומסיר אבנית,Delicate scent,,ZZ101,48,8.17,ILS,14,0,0,0,392.16,21/06/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,656
RGN-3312CG-750ML,FIN.11/017455,חשבונית מס כולל מלאי,08/08/2018,5041890,"זהר צח 2009 אילת בע""מ",88000 ,"זהר צח 2009 אילת בע""מ",סוחר,5944,ממיס ומסיר אבנית,Delicate scent,,ZZ101,60,8.17,ILS,14,0,0,0,490.2,02/08/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,657
RGN-3312CG-750ML,FIN.11/020134,חשבונית מס כולל מלאי,08/11/2018,5041890,"זהר צח 2009 אילת בע""מ",88000 ,"זהר צח 2009 אילת בע""מ",סוחר,6080,ממיס ומסיר אבנית,Delicate scent,,ZZ101,96,8.17,ILS,14,0,0,0,784.32,31/10/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,658
RGN-3312CG-25L,FIN.11/012666,חשבונית מס כולל מלאי,08/03/2018,1000000,קטמן,,לקוחות שונים,שונות,08.3.18,ממיס ומסיר אבנית,Delicate scent,,,1,420,ILS,315,0,0,0,420,08/03/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,653
RGN-3312CG-1L,FIN.11/015208,חשבונית מס כולל מלאי,30/05/2018,5041890,"זהר צח 2009 אילת בע""מ",88000 ,"זהר צח 2009 אילת בע""מ",סוחר,5780,ממיס ומסיר אבנית,Delicate scent,,ZZ115,96,9.56,ILS,14,0,0,0,917.76,17/04/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,652
GLG-3312-10000000-200L,FIN.11/015584,חשבונית מס כולל מלאי,10/06/2018,50312169,"חברת אזום בע""מ- תחנת כח",7745255,"חברת אזום בע""מ- תחנת כח",אנרגיה,9587,ממיס ומסיר אבנית,N,,12704,2,1700,ILS,3570,0,0,0,3400,05/06/2018,"רוטל דבקים וכימיקלים בע""מ",ציון רון,0,,,7
GLG-3312-23010000-25L,FIN.11/011458,חשבונית מס כולל מלאי,01/02/2018,2612908,נשר מפעלי מלט ישראליים בע,63143,נשר מפעלי מלט ישראליים בע,"בטון, גבס ודשנים",74984,ממיס ומסיר אבנית,N,,9146215,1,330,ILS,473,0,0,0,330,28/01/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,56
GLG-3312-23010000-25L,FIN.11/012115,חשבונית מס כולל מלאי,20/02/2018,2612908,נשר מפעלי מלט ישראליים בע,63143,נשר מפעלי מלט ישראליים בע,"בטון, גבס ודשנים",75973,ממיס ומסיר אבנית,N,,9146215,6,330,ILS,473,0,0,0,1980,18/02/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,60
GLG-3312-23010000-25L,FIN.11/012558,חשבונית מס כולל מלאי,05/03/2018,2612908,נשר מפעלי מלט ישראליים בע,63143,נשר מפעלי מלט ישראליים בע,"בטון, גבס ודשנים",76581,ממיס ומסיר אבנית,N,,9146215,6,330,ILS,473,0,0,0,1980,04/03/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,63
GLG-3312-23010000-25L,FIN.11/014246,חשבונית מס כולל מלאי,01/05/2018,2612908,נשר מפעלי מלט ישראליים בע,63143,נשר מפעלי מלט ישראליים בע,"בטון, גבס ודשנים",78371,ממיס ומסיר אבנית,N,,9146215,1,330,ILS,473,0,0,0,330,25/04/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,68
GLG-3312-23010000-25L,FIN.11/015274,חשבונית מס כולל מלאי,03/06/2018,2612908,נשר מפעלי מלט ישראליים בע,63143,נשר מפעלי מלט ישראליים בע,"בטון, גבס ודשנים",79498,ממיס ומסיר אבנית,N,,9146215,5,330,ILS,473,0,0,0,1650,24/05/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,70
GLG-3312-23010000-25L,FIN.11/015515,חשבונית מס כולל מלאי,07/06/2018,2612908,נשר מפעלי מלט ישראליים בע,63143,נשר מפעלי מלט ישראליים בע,"בטון, גבס ודשנים",79943,ממיס ומסיר אבנית,N,,9146215,3,330,ILS,473,0,0,0,990,06/06/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,73
GLG-3312-23010000-25L,FIN.11/016499,חשבונית מס כולל מלאי,08/07/2018,2612908,נשר מפעלי מלט ישראליים בע,63143,נשר מפעלי מלט ישראליים בע,"בטון, גבס ודשנים",80710,ממיס ומסיר אבנית,N,,9146215,3,330,ILS,473,0,0,0,990,08/07/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,81
